"id","email","first_name","last_name","role_name","office_name","office_level","parent_office_name","scope_bucket","seed_group"
"1","ored.director@denr.gov.ph","Felix","Alicerto","ORED","Office of the Regional Executive Director (ORED)","Regional","","ORED","Base/Manual seeded"
"2","maria.pacdo@denr.gov.ph","Maria","Santos","PACDO","Public Affairs and Communication Development Office (PACDO)","Regional","Office of the Regional Executive Director (ORED)","PACDO","Base/Manual seeded"
"139","penro.cotabato@denr.gov.ph","PENRO","COTABATO","PENRO","PENRO COTABATO","Provincial","Office of the Regional Executive Director (ORED)","PENRO","PENRO/CENRO seeded"
"5","penro.sarangani@denr.gov.ph","Penro","Sarangani","PENRO","PENRO SARANGANI","Provincial","Office of the Regional Executive Director (ORED)","PENRO","Base/Manual seeded"
"3","penro.south.cotabato@denr.gov.ph","Carlos","Mendoza","PENRO","PENRO SOUTH COTABATO","Provincial","Office of the Regional Executive Director (ORED)","PENRO","Base/Manual seeded"
"140","penro.sultan.kudarat@denr.gov.ph","PENRO","SULTAN KUDARAT","PENRO","PENRO SULTAN KUDARAT","Provincial","Office of the Regional Executive Director (ORED)","PENRO","PENRO/CENRO seeded"
"6","cenro.banga@denr.gov.ph","Ana","Reyes","CENRO","CENRO Banga","Community","PENRO SOUTH COTABATO","CENRO","Base/Manual seeded"
"147","cenro.general.santos.city@denr.gov.ph","CENRO","General Santos City","CENRO","CENRO General Santos City","Community","PENRO SOUTH COTABATO","CENRO","PENRO/CENRO seeded"
"142","cenro.glan@denr.gov.ph","CENRO","Glan","CENRO","CENRO Glan","Community","PENRO SARANGANI","CENRO","PENRO/CENRO seeded"
"146","cenro.kalamansig@denr.gov.ph","CENRO","Kalamansig","CENRO","CENRO Kalamansig","Community","PENRO SULTAN KUDARAT","CENRO","PENRO/CENRO seeded"
"148","cenro.kiamba@denr.gov.ph","CENRO","Kiamba","CENRO","CENRO Kiamba","Community","PENRO SARANGANI","CENRO","PENRO/CENRO seeded"
"144","cenro.matalam@denr.gov.ph","CENRO","Matalam","CENRO","CENRO Matalam","Community","PENRO COTABATO","CENRO","PENRO/CENRO seeded"
"143","cenro.midyap@denr.gov.ph","CENRO","Midyap","CENRO","CENRO Midyap","Community","PENRO COTABATO","CENRO","PENRO/CENRO seeded"
"145","cenro.tacurong.city@denr.gov.ph","CENRO","Tacurong City","CENRO","CENRO Tacurong City","Community","PENRO SULTAN KUDARAT","CENRO","PENRO/CENRO seeded"
"7","pasu.superintendent@denr.gov.ph","Paolo","Dela Cruz","PASU","PASU - Mt. Matutum Protected Landscape","Protected Area","PENRO SOUTH COTABATO","PASU","Base/Manual seeded"
"19","chief.unit14@denr.gov.ph","Division Chief","Unit 14","DIVISION_CHIEF","Administrative Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"16","chief.unit11@denr.gov.ph","Division Chief","Unit 11","DIVISION_CHIEF","Conservation & Devt. Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"17","chief.unit12@denr.gov.ph","Division Chief","Unit 12","DIVISION_CHIEF","Enforcement Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"20","chief.unit15@denr.gov.ph","Division Chief","Unit 15","DIVISION_CHIEF","Finance Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"18","chief.unit13@denr.gov.ph","Division Chief","Unit 13","DIVISION_CHIEF","Legal Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"14","chief.unit9@denr.gov.ph","Division Chief","Unit 9","DIVISION_CHIEF","Licenses, Patents & Deeds Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"8","chief.division@denr.gov.ph","Ramon","Navarro","DIVISION_CHIEF","Planning and Management Division (PMD)","Division","Office of the Regional Executive Director (ORED)","Division","Base/Manual seeded"
"13","chief.unit3@denr.gov.ph","Division Chief","Unit 3","DIVISION_CHIEF","Planning and Management Division (PMD)","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"15","chief.unit10@denr.gov.ph","Division Chief","Unit 10","DIVISION_CHIEF","Surveys & Mapping Division","Division","Office of the Regional Executive Director (ORED)","Division","Division/Section seeded"
"44","chief.unit39@denr.gov.ph","Division Chief","Unit 39","DIVISION_CHIEF","Accounting","Section","Finance Division","Section","Division/Section seeded"
"27","chief.unit22@denr.gov.ph","Division Chief","Unit 22","DIVISION_CHIEF","Agretacion Surveys & Corrections","Section","Surveys & Mapping Division","Section","Division/Section seeded"
"45","chief.unit40@denr.gov.ph","Division Chief","Unit 40","DIVISION_CHIEF","Budget","Section","Finance Division","Section","Division/Section seeded"
"43","chief.unit38@denr.gov.ph","Division Chief","Unit 38","DIVISION_CHIEF","Cash","Section","Finance Division","Section","Division/Section seeded"
"32","chief.unit27@denr.gov.ph","Division Chief","Unit 27","DIVISION_CHIEF","Coastal Resources & Foreshore Management","Section","Conservation & Devt. Division","Section","Division/Section seeded"
"34","chief.unit29@denr.gov.ph","Division Chief","Unit 29","DIVISION_CHIEF","Compliance, Monitoring & Investigation","Section","Enforcement Division","Section","Division/Section seeded"
"21","chief.unit16@denr.gov.ph","Division Chief","Unit 16","DIVISION_CHIEF","Forest Utilization","Section","Licenses, Patents & Deeds Division","Section","Division/Section seeded"
